,kepoi_name,koi_disposition,koi_pdisposition,rowid,kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_score,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_prad,koi_insol,koi_model_snr
0,K00752.01,CONFIRMED,CANDIDATE,1,10797460,0,0,0,0,1.088638730543017,-0.2574228958679336,0.25742289586793154,-0.17592327408690117,-0.17427417134625414,0.1492746769186529,-0.411685630468708,-0.3852595022550509,0.3852595022550489,-0.2818098159822627,-0.032699495590601625,-0.04806744192706355,-0.2816100986600585
1,K00752.02,CONFIRMED,CANDIDATE,2,10797460,0,0,0,0,1.0236354334631879,-0.23069241893954726,0.23069241893954673,-0.04452704109822687,-0.2017655492842335,-0.08837102225115112,-0.17224065694808052,-0.33434773678969953,0.33434773678969587,-0.27866042851352035,-0.03251427862589569,-0.04859810835074818,-0.2941766484705035
2,K00753.01,FALSE POSITIVE,FALSE POSITIVE,3,10811496,0,1,0,0,-1.0082418204192105,-0.25897827815025304,0.25897827815025276,0.0698474071623692,0.3360677017263509,0.2044852938974972,-0.5933052996386295,-0.4566255547255434,0.45662555472554145,-0.1576193754580953,-0.02868971077573969,-0.04840846797040917,-0.23071557192775613
3,K00754.01,FALSE POSITIVE,FALSE POSITIVE,4,10848459,0,1,0,0,-1.0082418204192105,-0.2607603504186061,0.2607603504186061,0.16152614245219427,-0.19582146756791363,0.1924829858586187,-0.4968458308284903,-0.4995198368903394,0.49951983689033536,-0.19105638573434133,-0.022561303838276477,-0.04305243065010928,0.3087664114346494
4,K00755.01,CONFIRMED,CANDIDATE,5,10854555,0,0,0,0,1.088638730543017,-0.2603356254206706,0.2603356254206702,-0.010184843839823349,-0.18308414960437105,-0.11637640767520274,-0.6130388415028335,-0.444830746890462,0.4448307468904584,-0.28196181344697036,-0.03254027398936318,-0.04283760120302105,-0.2752011582567315
5,K00756.01,CONFIRMED,CANDIDATE,6,10872983,0,0,0,0,1.088638730543017,-0.2583201851002787,0.2583201851002769,-0.05886117560608222,-0.20484373445875625,-0.07636871421227262,-0.158719240243947,-0.41646348754026624,0.4164634875402626,-0.2708453268681122,-0.03216659063951787,-0.04793414716486436,-0.24303079074199221
6,K00756.02,CONFIRMED,CANDIDATE,7,10872983,0,0,0,0,1.088638730543017,-0.2595222369812281,0.2595222369812279,0.00803145209724288,-0.1932740039752051,-0.15958471661516327,-0.3834529123904772,-0.4070575015452013,0.4070575015451994,-0.2809561982204646,-0.03253377514849631,-0.04596902306465722,-0.2760808167434627
7,K00756.03,CONFIRMED,CANDIDATE,8,10872983,0,0,0,0,1.071863686135319,-0.2586298045241596,0.25862980452415874,0.005941057481513962,-0.18552546888071672,-0.15238333179183827,-0.4933549873616746,-0.2611900679391947,0.2611900679391909,-0.28654362502311753,-0.032917206759641944,-0.04358146386747102,-0.3077485222657842
8,K00114.01,FALSE POSITIVE,FALSE POSITIVE,9,6721123,0,1,1,0,-1.0082418204192105,-0.2582084792689177,0.2582084792689166,0.12957296761176662,0.5490993446666,0.23089037158303097,-0.0926574614894659,-0.3044874637894935,0.30448746378948977,-0.2864560744834459,-0.020692887089049886,-0.04383599279133112,-0.26665590438562886
9,K00757.01,CONFIRMED,CANDIDATE,10,10910878,0,0,0,0,1.088638730543017,-0.25947124084082424,0.2594712408408228,-0.20399428749811796,-0.180218253062574,0.22448914062895964,-0.3224906393644123,-0.4715556912256464,0.4715556912256445,-0.2295409278185987,-0.03156219843889849,-0.04846217533218124,-0.12314590555034656
